,forecast
1973-01-01,1.337160576716388
1973-02-01,1.6901096825525768
1973-03-01,2.2114055310643788
1973-04-01,2.5481989251493133
1973-05-01,2.799894337265056
1973-06-01,2.94610920234959
1973-07-01,3.465745533303413
1973-08-01,3.599463274478201
1973-09-01,3.09721010165684
1973-10-01,2.5419827584907675
1973-11-01,1.6386769340220915
1973-12-01,1.1876876001611074
1974-01-01,1.2414684751389842
1974-02-01,1.5844179828920102
1974-03-01,2.087346041209625
1974-04-01,2.4127006352199287
1974-05-01,2.6560007246610873
1974-06-01,2.7974237986274577
1974-07-01,3.3005534306451474
1974-08-01,3.4301697956922097
1974-09-01,2.943636142535713
1974-10-01,2.4068837095398523
1974-11-01,1.5370986196619203
1974-12-01,1.1052995113514086
1975-01-01,1.1566708477609495
1975-02-01,1.4850391554426001
1975-03-01,1.9684706296647456
1975-04-01,2.2821020831447827
1975-05-01,2.516999594038573
1975-06-01,2.6536641609026757
1975-07-01,3.1405143103200275
1975-08-01,3.266083153919622
1975-09-01,2.7950457056550464
1975-10-01,2.276489633056458
1975-11-01,1.4396598167697316
1975-12-01,1.0266789551959432
